id,areaNumber,competitionId
40b689f0-ac29-4124-9aa1-50de7f14ea7a,1,eb2423d5-6b74-4421-8fe0-6ea625532f36
38aab90b-44a5-4492-8c4a-77ddf35dd262,1,eb2423d5-6b74-4421-8fe0-6ea625532f36
16399524-238d-4a96-81e6-4480a235de17,1,eb2423d5-6b74-4421-8fe0-6ea625532f36
d4fd8e44-43b4-4d2e-a3ed-30249bcf4a3a,1,eb2423d5-6b74-4421-8fe0-6ea625532f36
c46f994a-ee89-41b7-a319-dc71a9965567,1,eb2423d5-6b74-4421-8fe0-6ea625532f36
f47e300a-54a8-4496-9070-cbdbe8de940a,1,eb2423d5-6b74-4421-8fe0-6ea625532f36
77a74cb8-26b1-4d68-832d-22789fb5b06d,2,eb2423d5-6b74-4421-8fe0-6ea625532f36
38e0edf7-6aa2-47f2-8ead-5b6d889c6057,6,eb2423d5-6b74-4421-8fe0-6ea625532f36
edd31980-6971-4377-8f49-b174e7539631,3,eb2423d5-6b74-4421-8fe0-6ea625532f36
7e65b512-aaf4-4526-959e-83f011e5688d,4,eb2423d5-6b74-4421-8fe0-6ea625532f36
dc6ce0f3-31e8-44af-bd85-2f8b75fade05,5,eb2423d5-6b74-4421-8fe0-6ea625532f36
